type,类型内排名,name,adname,rating,cost,性价比
餐饮服务;外国餐厅;法式菜品餐厅,1,bistroduvin·法社,上城区,4.6,120,0.9592
餐饮服务;外国餐厅;法式菜品餐厅,2,AmbréCiel珀·餐厅,西湖区,4.6,1475,0.6304
餐饮服务;外国餐厅;牛扒店(扒房),1,王品牛排(杭州平安悦坊店),上城区,4.7,246,0.8531
餐饮服务;外国餐厅;牛扒店(扒房),2,王品牛排(杭州大厦店),拱墅区,4.7,251,0.85
餐饮服务;外国餐厅;牛扒店(扒房),3,牛排家(杭州亚奥万象天地店),萧山区,4.6,244,0.8362
餐饮服务;外国餐厅;牛扒店(扒房),4,豪客来牛排(杭州天空之翼餐厅),上城区,4.5,77,1.0329
餐饮服务;外国餐厅;牛扒店(扒房),5,豪客来牛排(杭州天阳D32餐厅),拱墅区,4.5,77,1.0329
餐饮服务;外国餐厅;牛扒店(扒房),6,豪尚豪牛排馆(凤起店),拱墅区,4.5,85,1.0102
餐饮服务;外国餐厅;美式风味,1,18号酒馆(天目里店),西湖区,4.8,125,0.9925
餐饮服务;外国餐厅;西餐厅(综合风味),1,牛排家(杭州滨江银泰店),滨江区,4.8,234,0.8792
餐饮服务;外国餐厅;西餐厅(综合风味),2,月芽·自由餐厅·虎跑1934店,西湖区,4.8,352,0.8182
餐饮服务;外国餐厅;西餐厅(综合风味),3,火柚星球·农场餐厅,西湖区,4.7,80,1.0695
餐饮服务;外国餐厅;西餐厅(综合风味),4,喀摩尔土耳其餐厅,上城区,4.7,100,1.0184
餐饮服务;外国餐厅;西餐厅(综合风味),5,HEYUMMY好时镇,上城区,4.7,121,0.9783
餐饮服务;外国餐厅;西餐厅(综合风味),6,18号酒馆(滨江山泽里店),滨江区,4.7,133,0.9596
餐饮服务;外国餐厅;西餐厅(综合风味),7,WADE'S Bar &Grill 味德(武林店),拱墅区,4.7,136,0.9553
餐饮服务;外国餐厅;西餐厅(综合风味),8,月芽·自由餐厅·壹集集合餐厅,余杭区,4.7,228,0.865
餐饮服务;外国餐厅;西餐厅(综合风味),9,牛排家(杭州城西银泰店),拱墅区,4.7,240,0.8569
餐饮服务;外国餐厅;西餐厅(综合风味),10,菲滋意式餐厅(萧山临浦店),萧山区,4.6,68,1.0864
餐饮服务;外国餐厅;西餐厅(综合风味)|餐饮服务;外国餐厅;牛扒店(扒房),1,豪客来牛排(杭州文三颐高数码城餐厅),西湖区,4.6,77,1.0558
餐饮服务;外国餐厅;西餐厅(综合风味)|餐饮服务;外国餐厅;牛扒店(扒房),2,牛排家(杭州城北万象城店),余杭区,4.6,199,0.8682
餐饮服务;外国餐厅;西餐厅(综合风味)|餐饮服务;糕饼店;糕饼店,1,澳骄小屋 Aussie Kitchen(城东店),上城区,4.6,135,0.9364
餐饮服务;外国餐厅;韩国料理,1,小菜园新徽菜(杭州拱墅万达店),拱墅区,4.6,55,1.1428
餐饮服务;快餐厅;必胜客,1,必胜客(杭州解百店),上城区,4.5,46,1.1688
餐饮服务;快餐厅;必胜客,2,必胜客(杭州转塘华润店),西湖区,4.5,58,1.1036
餐饮服务;快餐厅;必胜客,3,必胜客(杭州滨江店),滨江区,4.5,63,1.082
餐饮服务;快餐厅;快餐厅,1,本分冒菜(元天科技店),滨江区,4.8,46,1.2467
餐饮服务;快餐厅;快餐厅,2,啫卤爷,上城区,4.8,134,0.9785
餐饮服务;快餐厅;快餐厅,3,绝美嘉海鲜馄饨(杭州总店),拱墅区,4.7,23,1.4789
餐饮服务;快餐厅;快餐厅,4,复兴面王(河东路店),拱墅区,4.7,41,1.2575
餐饮服务;快餐厅;快餐厅,5,屠夫汉堡(中山北路店),拱墅区,4.7,59,1.1479
餐饮服务;快餐厅;快餐厅,6,Shake Shack(杭州万象城店),上城区,4.7,65,1.1218
餐饮服务;快餐厅;快餐厅,7,piccolo披萨店,上城区,4.7,70,1.1026
餐饮服务;快餐厅;快餐厅,8,点都德(滨江银泰店),滨江区,4.7,86,1.0524
餐饮服务;快餐厅;快餐厅,9,点都德(城西银泰城店),拱墅区,4.7,86,1.0524
餐饮服务;快餐厅;快餐厅,10,银记肠粉(新华路店),拱墅区,4.6,28,1.3661
餐饮服务;快餐厅;肯德基,1,肯德基(朝晖店),拱墅区,4.6,25,1.4119
餐饮服务;快餐厅;肯德基,2,肯德基(杭州和平饭店),拱墅区,4.6,27,1.3805
餐饮服务;快餐厅;肯德基,3,肯德基(杭州庆丰店),西湖区,4.6,39,1.247
餐饮服务;快餐厅;肯德基,4,胖哥俩肉蟹煲(杭州天虹店),上城区,4.6,83,1.0382
餐饮服务;快餐厅;肯德基,5,肯德基(杭州之翼店),上城区,4.5,26,1.3654
餐饮服务;快餐厅;肯德基,6,肯德基(杭州永安店),上城区,4.5,30,1.3104
餐饮服务;快餐厅;肯德基,7,肯德基(天成店),上城区,4.5,31,1.2984
餐饮服务;快餐厅;肯德基,8,肯德基(中赢国际店),滨江区,4.5,32,1.287
餐饮服务;快餐厅;肯德基,9,肯德基(杭州复兴店),上城区,4.5,32,1.287
餐饮服务;快餐厅;肯德基,10,肯德基(庆春店),拱墅区,4.5,33,1.2761
餐饮服务;快餐厅;麦当劳,1,麦当劳(中南国际商城店),滨江区,4.6,22,1.4671
餐饮服务;快餐厅;麦当劳,2,麦当劳(杭州凤起路餐厅),拱墅区,4.6,23,1.4474
餐饮服务;快餐厅;麦当劳,3,麦当劳(江南明新DT店),萧山区,4.6,26,1.3957
餐饮服务;快餐厅;麦当劳,4,麦当劳(加州阳光·开元广场店),萧山区,4.6,26,1.3957
餐饮服务;快餐厅;麦当劳,5,麦当劳(杭州大厦501城市广场店),上城区,4.6,27,1.3805
餐饮服务;快餐厅;麦当劳,6,麦当劳(星耀城二期城市生活广场店),滨江区,4.6,28,1.3661
餐饮服务;快餐厅;麦当劳,7,麦当劳(西湖银泰百货店),上城区,4.6,28,1.3661
餐饮服务;快餐厅;麦当劳,8,麦当劳(杭州滨江中南乐游城店),滨江区,4.6,28,1.3661
餐饮服务;快餐厅;麦当劳,9,麦当劳(大华·星河商务大厦店),上城区,4.6,29,1.3525
餐饮服务;快餐厅;麦当劳,10,麦当劳(智谷国际人才大厦店),上城区,4.6,29,1.3525
餐饮服务;茶艺馆;茶艺馆|餐饮服务;中餐厅;中餐厅,1,香芙茗楼(嘉里中心店),拱墅区,4.7,159,0.9261
餐饮服务;餐饮相关场所;餐饮相关,1,超火锅(杭州萧山总店),萧山区,4.9,130,1.0051
餐饮服务;餐饮相关场所;餐饮相关,2,岳阳楼(滨兴小区店),滨江区,4.8,62,1.1585
餐饮服务;餐饮相关场所;餐饮相关,3,刘老根·东北烧烤酒场(闻涛观潮店),滨江区,4.8,80,1.0923
餐饮服务;餐饮相关场所;餐饮相关,4,周姐焦烤鸡架·东北烧烤夜宵(隆和国际店),滨江区,4.8,81,1.0892
餐饮服务;餐饮相关场所;餐饮相关,5,庆春食堂(国有资本投资大厦店),上城区,4.8,97,1.0469
餐饮服务;餐饮相关场所;餐饮相关,6,超火锅(滨江店),滨江区,4.8,107,1.0252
餐饮服务;餐饮相关场所;餐饮相关,7,乔街深夜食堂(滨江银泰店),滨江区,4.8,120,1.0009
餐饮服务;餐饮相关场所;餐饮相关,8,月芽·自由餐厅·西溪湿地餐厅,西湖区,4.8,226,0.8848
餐饮服务;餐饮相关场所;餐饮相关,9,重庆四间火锅(杭州首店),滨江区,4.7,13,1.7809
餐饮服务;餐饮相关场所;餐饮相关,10,崔酱,拱墅区,4.7,26,1.426
餐饮服务;餐饮相关场所;餐饮相关|体育休闲服务;体育休闲服务场所;体育休闲服务场所,1,西隐,西湖区,4.7,298,0.8245
