keytag,type,typecode,adname,tel,address,pname,biz_type,cityname,atag,name,location,rating,cost
江浙菜,餐饮服务;中餐厅;浙江菜,050106,西湖区,18258055785,西湖街道天竺路14号,浙江省,diner,杭州市,土菜,天竺人家·杭州土菜(西湖灵隐寺13年老店),"120.105727,30.239235",4.5,72
江浙菜,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-87756985,延安路229号(龙翔桥地铁站C口步行120米),浙江省,diner,杭州市,"壹品轩,烤肉,糖醋里脊,红烧肉,芝士,虾仁,豆腐,东坡肉,小炒肉,素菜,花蛤,茄子,酸汤肥牛,酸菜鱼,面食,双人餐,特色菜",壹品轩·东坡家宴(西湖店),"120.163899,30.252878",4.5,77
江浙菜,餐饮服务;中餐厅;浙江菜,050106,上城区,13165983118,清河坊高银街129号(吴山广场地铁站D口步行390米),浙江省,diner,杭州市,"双人餐,东坡肉,牛肉,西湖醋鱼,宋嫂鱼羹,干炸响铃,叫化童鸡,叫花鸡",西月楼·杭帮菜(河坊街店),"120.167967,30.240526",4.6,50
江浙菜,餐饮服务;中餐厅;浙江菜,050106,西湖区,0571-88739979;19011289979,文二西路1093号云澜谷F1层,浙江省,diner,杭州市,"传统卤鹅,家烧东海小鲜,时令鲜甜豆,老鸭馄饨煲,虾和牛蛙的故事,东坡香芋煲,方师傅红烧肉,杭三鲜,老法三鲜锅,牛肉",东大方(杭州云澜谷店),"120.067446,30.283523",4.6,68
江浙菜,餐饮服务;中餐厅;中餐厅,050100,拱墅区,0571-88077797;18106530884,杭行路688号(祥园路地铁站D口步行400米),浙江省,diner,杭州市,"家烧东海小鲜,时令鲜甜豆,传统卤鹅,老鸭馄饨煲,虾和牛蛙的故事,东坡香芋煲,方师傅红烧肉,寿司,五花肉,家常菜,点心,麻油卤鸭",東大方(杭州万达店),"120.117640,30.332433",4.6,68
江浙菜,餐饮服务;中餐厅;中餐厅,050100,西湖区,0571-85388879,三墩镇欣然街36号8号楼102室,浙江省,diner,杭州市,"老鸭馄饨煲,虾和牛蛙的故事,东坡香芋煲,家烧东海小鲜,时令鲜甜豆,传统卤鹅,方师傅红烧肉,水煮肉片,炒面,麻油卤鸭,红烧肉,酸汤肥牛,鸡肉,点心",東大方(杭州紫金梦想店),"120.067605,30.327654",4.7,68
江浙菜,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-85156733,延安路10号(吴山广场地铁站D口步行210米),浙江省,diner,杭州市,"膏蟹蒸肉饼,鲍鱼红焖猪脚,荔枝虾球,下饭菜配荠菜窝窝头,招牌土烧鱼头,红烧肉配酒酿馒头,白灼小管,桂花杨梅圆子羹,龙井虾仁,脆皮西湖醋鱼,脆皮大肠,养生土鸡汤,野菜鱼米羹,西湖醉虾,臭豆腐肥肠煲,西湖牛肉羹,钱江大白条,杭州酱鸭,龙井蒜香排,桂花香酥鸭,鸿运当头,杭州卤鸭,白切鸡,深海大黄鱼,龙井虾仁,脆皮大肠,特色菜,虾仁,牛肉,私房菜,鸡肉,双人餐,红烧肉,豆腐",乾堂里·杭州老八鲜(吴山广场店),"120.165000,30.240828",4.6,66
浙菜,餐饮服务;中餐厅;中餐厅,050100,萧山区,0571-86073776,皓月路华媒智谷大厦2-203室,浙江省,diner,杭州市,"老鸭馄饨煲,虾和牛蛙的故事,东坡香芋煲,传统卤鹅,方师傅红烧肉,家烧东海小鲜,时令鲜甜豆,五花肉,特色菜,红烧肉,肥牛,龙虾,家常菜",東大方(杭州世纪城开元店),"120.253789,30.230311",4.7,68
江浙菜,餐饮服务;中餐厅;中餐厅,050100,余杭区,0571-88776177;13524696104,五常街道余杭塘路1993号关瑞大厦1幢103-105,浙江省,diner,杭州市,"家烧东海小鲜,时令鲜甜豆,传统卤鹅,老鸭馄饨煲,虾和牛蛙的故事,东坡香芋煲,方师傅红烧肉,鸭肉,毛血旺,红糖糍粑,麻婆豆腐,水煮肉片,牛蛙,红烧肉,芋头,辣椒炒肉",東大方(杭州未来城一号店),"120.022961,30.288387",4.5,68
江浙菜,餐饮服务;中餐厅;中餐厅,050100,滨江区,19817157988,浦沿街道东信大道688号志成大厦A幢4楼,浙江省,diner,杭州市,"青梅竹马醋小排,红汤甲鱼,锦绣东星斑姿造,国滨特色大肉包,特色大连鲍捞饭,黑松露香米炒小青龙,蔬果鲜沙拉,老醋泡凤爪,上汤时令时蔬菜,一品黄金泡菜,避风塘焗小青龙,脆果拼三样,美味酱鸭舌,铁板澳洲牛排骨,蒜蓉虾饺长脚蟹,潮州卤水拼,双人餐,牛肉,自制葱包烩,沙拉",国滨家宴·新味萧山菜(滨江店),"120.145420,30.176073",4.6,100
江浙菜,餐饮服务;餐饮相关场所;餐饮相关,050000,滨江区,19157765307,江辉路1772号,浙江省,diner,杭州市,"传统卤鹅,方师傅红烧肉,老鸭馄饨煲,虾和牛蛙的故事,东坡香芋煲,家烧东海小鲜,时令鲜甜豆,豆皮,豆腐,水煮肉片,红烧肉,酸汤肥牛,年糕,拌饭",東大方(杭州苏泊尔大厦店),"120.208577,30.206823",4.6,68
浙菜,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-88199019,东宁路与和兴路交叉口杭州东站万象汇1层L109、L207(星巴克旁扶梯上楼右转),浙江省,diner,杭州市,"石锅海胆豆腐,花园茶香脆皮鸡,珊汁沙律大虾,柒园九宫格,温式黄鱼炒年糕,香溢东坡肉,香米蒸日月贝,桂花糖醋里脊,美极红椒私房鸡,鸡汁花雕波龙,柒园龙井清泉小牛肉,满园春色,云腿昆明小豌豆,急火旺炒黄牛肉,精品果木烤鸭,温式黄鱼烧年糕,龙井清泉小牛肉,巧克力,鸡肉,牛肉",柒园·三十年创意杭帮菜(杭州东站万象汇店),"120.216930,30.294627",4.6,116
江浙菜,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-87388393;18768118489,十五奎巷41号(鼓楼边),浙江省,diner,杭州市,"蛋黄鸡翅,招牌肉蟹煲,老弄堂小炒皇,馋嘴牛蛙,酸菜鱼,大闸蟹,脆皮大肠,龙井虾仁,干炸臭豆腐,西湖醋鱼,油爆虾,秘制东坡肉烧大乌参,杂鱼一锅鲜,椒盐土豆片,招牌酸菜鱼,桃胶椰冻,杭三鲜,招牌油爆虾,蒜蓉粉丝海鲜拼,手撕羊排,雪菜目鱼仔,芥菜鱼米羹,五花肉,双人餐,家常菜,牛肉,绍兴臭豆腐,干炸臭豆腐,西湖醋鱼,脆皮大肠",老弄堂菜馆(鼓楼店),"120.170111,30.237320",4.6,70
杭帮菜,餐饮服务;中餐厅;浙江菜,050106,上城区,19032287085,中山中路12-14号,浙江省,diner,杭州市,"鸳鸯鳝丝,招牌熟醉蟹,招牌油爆虾,招牌东坡肉,葱酥猪肝,西湖醋鱼,猪肝,鳝丝",东坡文人面馆,"120.171361,30.238717",4.6,58
江浙菜,餐饮服务;中餐厅;中餐厅,050100,上城区,0571-81066777,九源路9号东业旺田商务大厦B座,浙江省,diner,杭州市,"云南松茸汽锅鸡,黑蒜素双包,大漠风沙烤羊排,四季蟹粉狮子头,西湖牛肉鱼米羹,海胆洋水白豆腐,椒香鸡汁大白条,山核桃牛仔粒,李白招牌烤鸭,煲仔荔浦香芋,云雾秘制醉大头虾,李白蒸湖蟹,金牌扣肉拼酒酿馒头,青椒麻乳鸽,花雕红烧肉酱蛋,泉水浸牛肉,云雾鸳鸯龙井虾仁,南宋蟹酿橙,湘味黄椒吊龙,文火小牛肉蔬菜馍,自贡鲜辣跳跳蛙,波士顿龙虾,双人餐",李白图书馆餐厅?杭帮菜名店(九堡店),"120.263691,30.305378",4.7,91
江浙菜,餐饮服务;餐饮相关场所;餐饮相关,050000,拱墅区,0571-86773977;19157723977,朝晖街道潮王路177号,浙江省,diner,杭州市,"卤蛋,牛肉",東大方(杭州潮王路店),"120.153785,30.285750",4.7,76
江浙菜,餐饮服务;中餐厅;中餐厅,050100,西湖区,13738096820,蒋村街道西溪天堂国际旅游综合体12-24号,浙江省,diner,杭州市,"抹茶茉莉生酪,红枣酒酿圆子,蟹粉虾仁面,手工蟹黄春卷,开心果千层蛋糕,秘制花雕醉蟹,蟹粉虾仁饭,网红气泡小金鱼,手工蟹黄水饺,网红冰镇杨梅汁,江南蟹黄面,蟹粉鸡汁面,鲍鱼卤肉饭,青提豆花,蟹黄大汤包,玫瑰桃胶西米露,手工蟹黄馄饨,蟹粉娃娃菜,网红茉莉奶茶,手工陈皮小青柑,花雕熟醉虾2只,手工蟹全宴,海胆虾饺皇,手工蟹黄小汤包,手工西柚百香果汁,双人餐,杨梅冰汤圆",苏小蟹·蟹黄面(西溪湿地博物馆店),"120.088677,30.264503",4.6,87
江浙菜,餐饮服务;中餐厅;中餐厅,050100,余杭区,0571-86111977,五常街道西溪八方城8幢114-122室,浙江省,diner,杭州市,"传统卤鹅,家烧东海小鲜,时令鲜甜豆,老鸭馄饨煲,虾和牛蛙的故事,东坡香芋煲,方师傅红烧肉,水煮肉片,酸汤肥牛",東大方(杭州八方城店),"120.045138,30.289475",4.6,68
江浙菜,餐饮服务;中餐厅;浙江菜,050106,上城区,0571-87025558;13216705653,南山路198号,浙江省,diner,杭州市,"生态鱼头锅,蟹粉豆腐,松鼠桂鱼,菠萝油条虾,酸汤肥牛,莲藕糖醋里脊,三杯鸡,东坡肉,西子茶点,菌菇素鹅,秘制牛仔骨,功夫麻球,西湖醋鱼二吃,冰淇淋醉膏蟹,四方咖喱虾,单人餐,双人餐,私房菜,脆皮大肠,蟹粉豆腐",玲珑小镇·创意私房菜(西湖南山路店),"120.158325,30.241322",4.6,101
江浙菜,餐饮服务;中餐厅;浙江菜|餐饮服务;中餐厅;江苏菜,050106|050105,钱塘区,0571-87089750,金沙大道97号杭州金沙印象城L6层L6-05、L6-06,浙江省,diner,杭州市,"家常菜,炸鸡,糖醋里脊,牛肉,素菜,豆腐,酸菜鱼,鸡肉,片儿川",外婆家(杭州金沙印象城店),"120.336513,30.308818",4.6,55
杭帮菜,餐饮服务;中餐厅;中餐厅,050100,西湖区,15658060722,宝石山下二弄6-2号,浙江省,diner,杭州市,"双人餐,私房菜,叫化童鸡,叫花鸡,西湖醋鱼,东坡肉,西湖桂花藕粉,龙井虾仁,西湖藕粉,西湖牛肉羹",江南忆·融合杭帮私房菜,"120.152078,30.261150",4.5,64
江浙菜,餐饮服务;餐饮相关场所;餐饮相关,050000,西湖区,15168200920,灵隐街道梅灵北路265号,浙江省,diner,杭州市,双人餐,三生小坞·山野食集(杭州西湖灵隐店),"120.105016,30.235894",4.6,110
江浙菜,餐饮服务;中餐厅;浙江菜,050106,滨江区,0571-87982977;0571-87985933,江汉路与江南大道交叉口江南天街商业中心1幢5F07室,浙江省,diner,杭州市,"绿茶葱香烤肉,面包诱惑,小锅土豆,招牌粉丝裹虾,绿茶烤鸡,石锅鸡汤豆腐,绿茶饼,糖醋里脊,绿茶葱香烤鸡,龙井虾仁,绿茶炒饭,蒜香蜜汁排骨,鲜肉红油抄手,绿茶酸奶,烤肉,烤鸡,鸡肉,烤鱼,杭三鲜",绿茶餐厅(滨江龙湖店),"120.204712,30.201408",4.5,65
江浙菜,餐饮服务;餐饮相关场所;餐饮相关,050000,上城区,0571-86097077,笕桥街道祥生中心5幢1层140室、2层204-207室,浙江省,diner,杭州市,"传统卤鹅,老鸭馄饨煲,虾和牛蛙的故事,东坡香芋煲,方师傅红烧肉,家烧东海小鲜,时令鲜甜豆",東大方(祥生中心店),"120.224419,30.301719",4.6,68
江浙菜,餐饮服务;中餐厅;中餐厅,050100,西湖区,0571-87609977;15958176555;17366622653,转塘街道云河街和洙泗路交叉口美上商业中心2楼,浙江省,diner,杭州市,"农家菜,虾仁,双人餐,鸡肉,应季大闸蟹,西湖牛肉羹",府上家宴·百年浙菜(美上店),"120.080777,30.147271",4.7,82
杭帮菜,餐饮服务;中餐厅;中餐厅,050100,拱墅区,0571-87913526,信义商街241、242、249、250号,浙江省,diner,杭州市,"杭州卤鸭,油焖春笋,砂锅土烧鱼头,三鲜鱼圆汤,私房酸菜鱼,素炒二冬,炒二冬（放酱油）,生醉河虾,家常菜,年糕,鱼头,牛蛙,鸡肉,老杭州卤鸭,蘑菇,豆腐,鸡块,东坡肉",巷儿里餐厅·杭帮菜(信义坊步行街店),"120.142400,30.294190",4.7,45
火锅,餐饮服务;中餐厅;中餐厅,050100,拱墅区,0571-86050015;0571-86050075,天水街道延安路609号10F-0110F-02,浙江省,diner,杭州市,双人餐,海底捞火锅(武林广场国大店),"120.162976,30.269480",4.6,120
火锅,餐饮服务;餐饮相关场所;餐饮相关,050000,滨江区,0571-88025656,闻涛路1861号,浙江省,diner,杭州市,"一大杯红心芭乐水,顶流卤菜拼盘,重庆当日空运鲜毛肚,耙糯大肠头,耙卤猪蹄,学校门口锅巴土豆,耙卤鸡爪,九尺鲜扣鹅肠,耙耙牛蹄筋,A级雪花肥牛,巴掌腰花,卤猪蹄",超火锅(滨江店),"120.197035,30.208983",4.8,107
川菜,餐饮服务;中餐厅;中餐厅,050100,上城区,19032286903,彭埠街道明月桥路德信中心7号楼1楼商铺,浙江省,diner,杭州市,"沸腾香辣虾,肉松冰川茄子,牛肉,肉松,辣子鸡,豆腐",荆九爷爆炒桥头三嫩(东站店),"120.221228,30.295793",4.8,67
川菜,餐饮服务;中餐厅;四川菜(川菜),050102,拱墅区,0571-87851289;15355058307,上塘路310-3号(潮王路地铁站B口步行440米),浙江省,diner,杭州市,"双人餐,牛肉,鸡肉,辣子鸡,毛血旺,酸菜鱼,水煮鱼",晚酒·阿英川菜馆(一店),"120.161865,30.292981",4.7,82
川菜,餐饮服务;中餐厅;特色/地方风味餐厅|餐饮服务;中餐厅;四川菜(川菜),050118|050102,上城区,18969057312,延安路湖滨银泰in77C3区负一层b1031铺,浙江省,diner,杭州市,"烤鱼,鸡肉",烤匠麻辣烤鱼(in77店),"120.164780,30.250798",4.6,65
火锅,餐饮服务;中餐厅;火锅店,050117,滨江区,15382370907,南环路3870号,浙江省,diner,杭州市,"烤鸭,牛肉,素菜,蛋炒饭",躲姨家火锅,"120.153758,30.179041",4.7,80
火锅,餐饮服务;中餐厅;火锅店,050117,萧山区,0571-82553877;0571-82790997,建设四路189号4层(兴议地铁站A出口),浙江省,diner,杭州市,双人餐,海底捞火锅(金帝T-ONE MO店),"120.239995,30.212726",4.7,120
川菜,餐饮服务;餐饮相关场所;餐饮相关,050000,西湖区,19700738279,紫荆花路274号,浙江省,diner,杭州市,"山城毛血旺,鸡肉,水煮肉片,贰姐麻婆豆腐,鱼香肉丝,辣子鸡,麻婆豆腐,口水鸡",贰姐川菜,"120.092655,30.287563",4.7,74
川菜,餐饮服务;中餐厅;特色/地方风味餐厅,050118,萧山区,15356698307,利丰路亨德利闽商大厦1楼824号商铺,浙江省,diner,杭州市,"肉松冰川茄子,沸腾香辣虾,土豆丝,鸡肉,双人餐,牛肉,九秒腰花,乾隆辣子鸡,爆炒腰花",荆九爷爆炒桥头三嫩(萧山店),"120.260463,30.231142",4.8,55
川菜,餐饮服务;中餐厅;四川菜(川菜),050102,上城区,19106788101,解放路249号杭州解百商场A座1楼008室,浙江省,diner,杭州市,"双人餐,毛血旺,水煮鱼,辣子鸡",晚酒·阿英川菜馆(解百店),"120.166187,30.249423",4.7,90
火锅,餐饮服务;中餐厅;火锅店,050117,上城区,0571-89990598,和兴路129号杭州东站万象汇L0229N、L143,浙江省,diner,杭州市,[],巴奴毛肚火锅(杭州东站万象汇店),"120.217475,30.293775",4.6,145
毛肚火锅,餐饮服务;中餐厅;火锅店,050117,萧山区,19032003933,萧杭路615-五七公社文创园19号楼,浙江省,diner,杭州市,双人餐,白乐天毛肚火锅店,"120.252506,30.172638",4.7,86
火锅,餐饮服务;中餐厅;火锅店,050117,上城区,0571-88038962;0571-88320206,科城街368号龙湖杭州上城天街F5层,浙江省,diner,杭州市,双人餐,海底捞火锅(上城天街店),"120.278125,30.330875",4.6,120
川菜,餐饮服务;中餐厅;四川菜(川菜)|餐饮服务;中餐厅;火锅店,050102|050117,钱塘区,19941002515,下沙街道高沙路651号,浙江省,diner,杭州市,"毛血旺,酸菜鱼,冷气口水鸡,夫妻肺片,老坛酸菜鱼,蒜苗回锅肉,川霸水煮鱼,麻婆豆腐,口水鸡,辣子鸡,鸡肉",川霸川菜,"120.334742,30.315122",4.7,68
川菜,餐饮服务;中餐厅;中餐厅,050100,钱塘区,19157900921,白杨街道2号大街22号十六街区商城商铺129、130,浙江省,diner,杭州市,"沸腾香辣虾,肉松冰川茄子,乾隆辣子鸡,鸡肉,家常菜,牛肉,蟹黄",荆九爷爆炒桥头三嫩(下沙店),"120.352871,30.309450",4.7,57
川菜,餐饮服务;中餐厅;四川菜(川菜),050102,拱墅区,15336887653,丰潭路与润园街交叉口天行国际中心7号楼1层,浙江省,diner,杭州市,"夫妻肺片,双人餐,麻婆豆腐",阿英川菜馆(丰潭路店),"120.106253,30.304994",4.8,80
川菜,餐饮服务;中餐厅;四川菜(川菜),050102,钱塘区,19106726298,松乔街532-2号,浙江省,diner,杭州市,"特色酸菜鱼黑鱼,山城辣子鸡,鱼香肉丝,毛血旺,双人餐",老地方川菜(元成东盛家园店),"120.340025,30.324557",4.7,67
毛肚火锅,餐饮服务;中餐厅;火锅店,050117,西湖区,0571-86551577,余杭塘路1001号龙湖杭州西溪天街5F层,浙江省,diner,杭州市,[],巴奴毛肚火锅(龙湖杭州西溪天街店),"120.068704,30.293734",4.7,136
川菜,餐饮服务;中餐厅;四川菜(川菜),050102,滨江区,18106593801,固陵路64号1号楼106室(西兴楼),浙江省,diner,杭州市,"肉松冰川茄子,沸腾香辣虾,乾隆辣子鸡,大排档,牛肉,肥肠,肉松,鸡肉",荆九爷爆炒桥头三嫩(滨江店),"120.227629,30.191152",4.8,55
川菜,餐饮服务;中餐厅;四川菜(川菜),050102,萧山区,19012808279,北干街道建设四路189号T-ONEMO三层22号,浙江省,diner,杭州市,双人餐,晚酒·阿英川菜馆(奥体金帝店),"120.239869,30.212764",4.7,74
串串香,餐饮服务;中餐厅;火锅店,050117,滨江区,15888824908,滨江区长河老街历史文化街区停车场对面,浙江省,diner,杭州市,火锅串串香,小树林老成都火锅串串香·盖碗茶(宠物友好店),"120.193168,30.172297",4.7,72
"餐饮服务,餐饮相关场所,餐饮相关",餐饮服务;餐饮相关场所;餐饮相关,050000,萧山区,19057152665,丰北二苑,浙江省,diner,杭州市,[],禄德林川味黑鱼花(萧山店),"120.255430,30.228313",4.7,106
火锅,餐饮服务;中餐厅;火锅店,050117,上城区,0571-85036112,九堡街道科城街368号滨乔商务中心杭州上城天街A区5楼,浙江省,diner,杭州市,[],巴奴毛肚火锅(杭州上城龙湖天街店),"120.277460,30.331603",4.6,145
川菜,餐饮服务;餐饮相关场所;餐饮相关,050000,上城区,17625610260,环站东路富亿花园中心2-135,浙江省,diner,杭州市,"烤肠,绿豆汤,肥肠,冒菜",孔岳冒菜(彭埠店),"120.219288,30.297583",4.7,59
川菜,餐饮服务;中餐厅;中餐厅,050100,滨江区,19357368618,长河街道国慷街509号蓝城英冠滨悦城4-117室,浙江省,diner,杭州市,"双人餐,家常菜,牛肉,鸡肉",荆九爷爆炒桥头三嫩(滨江滨悦城店),"120.172392,30.192810",4.7,55
川菜,餐饮服务;中餐厅;四川菜(川菜),050102,滨江区,0571-85507993;19057208539,浦沿街道宝龙城(杭州滨江店)一层中区7号门室内观光梯旁,浙江省,diner,杭州市,"自贡水煮牛肉,古法麻婆豆腐",蜀谭记·盐帮川菜(杭州首店),"120.167185,30.188132",4.7,109
川菜,餐饮服务;中餐厅;四川菜(川菜),050102,萧山区,0571-82366699,民和路与皓月路交叉口北60米,浙江省,diner,杭州市,"辣香文火慢烧猪手花胶公,【荔枝,宫保南非龙虾球,黑松露菌菇饺,【酱香,三代人传承酱肉包,泡豇豆烧江米鱼,水煮东星斑,椒麻脆笋澳洲带子,海胆烤松叶蟹,【咸鲜,芙蓉清汤鸡豆花,黄金笋壳鱼,澳洲和牛麻婆豆腐,四川泡菜豆面烧南非小青龙,【家常,回锅放养黑毛猪肉皇,【麻辣,安格斯牛肉麻婆豆腐,东坡肘子,放养360天土猪肉回锅肉,柑树籽蒸法国银鳕鱼,【酸辣,四川泡菜豆烧南非小青龙,安格斯牛肉麻婆豆腐,精品夫妻肺片,双人餐,回锅放养360天黑毛猪肉皇,回锅肉",琂川.经典川菜.二十四味,"120.254359,30.232792",4.7,293
川菜,餐饮服务;中餐厅;四川菜(川菜),050102,萧山区,15306718698,北干街道长龙路优立方大厦291号,浙江省,diner,杭州市,[],照云川菜(萧山店),"120.245059,30.207387",4.8,96
川菜,餐饮服务;中餐厅;中餐厅,050100,萧山区,19032277380,金惠路1696号荣星名座一楼,浙江省,diner,杭州市,"原汤酸菜鱼,酸菜鱼",摆笼酸菜鱼庄·精品川菜(荣星名座店),"120.237356,30.187255",4.7,80
川菜,餐饮服务;中餐厅;中餐厅,050100,拱墅区,19957891963,新天地购物中心5楼,浙江省,diner,杭州市,[],荆九爷爆炒桥头三嫩(新天地店),"120.179575,30.323066",4.7,55
川菜,餐饮服务;中餐厅;特色/地方风味餐厅,050118,滨江区,19012883856,星光大道一期中心广场,浙江省,diner,杭州市,"把把烧,芝士烤红薯,包浆豆腐,炭烤猪颈肉,掌中宝,开心果雪花冰,豆腐,烤鱼",烤匠麻辣烤鱼(星光大道店),"120.209003,30.208380",4.7,65
川菜,餐饮服务;餐饮相关场所;餐饮相关,050000,萧山区,15969480339;19357107322,北干街道长龙路287号距7号线明星路站B口步行538米,浙江省,diner,杭州市,冒菜,孔岳冒菜(无忧店),"120.245138,30.207390",4.7,58
川菜,餐饮服务;中餐厅;中餐厅,050100,钱塘区,18969130169,下沙学林街,浙江省,diner,杭州市,"迎飞鸭掌（2只）,冒烤鸭,脑花烧豆腐,缤纷红糖冰粉队,兔头,麻辣鲜烧牛肉小份,纯黄豆手工冰豆花,牛肉,双人餐,钵钵鸡,跷脚牛肉",芳芳跷脚牛肉 (高沙店),"120.336655,30.315664",4.7,50
川菜,餐饮服务;中餐厅;四川菜(川菜),050102,上城区,0571-85770077;19817110899,国货路11-3号,浙江省,diner,杭州市,"惹味泡菜烧笋壳鱼,黄焖汉寿甲鱼佐年糕,十秒肝腰合炒,青辣汁翘壳王,推纱望月,双椒嫩滑拆骨献鸡,南充红薯粉丝烧蛏子,木姜子鲜爆石鸡,炝锅海捕大陈黄鱼,堂灼沸腾东星斑,盐水贡椒乳鸽,川味臻品毛血旺,老成都红油鸡片,年糕,甲鱼,生日蛋糕",蜀秀·民国独栋1912·新派川菜(湖滨店),"120.167110,30.249121",4.7,150
重庆火锅,餐饮服务;中餐厅;火锅店,050117,上城区,15258852802,新塘路644号,浙江省,diner,杭州市,老火锅,马厂老火锅(杭州东站店),"120.222480,30.290724",4.7,120
川菜,餐饮服务;中餐厅;中餐厅,050100,西湖区,19032209509,留下街道屏新路18号520新天地1层116商铺,浙江省,diner,杭州市,"肥肠,家常菜,素菜,特色菜,红烧肉",荆九爷爆炒桥头三嫩(西溪留下店),"120.047816,30.226774",4.7,63
川菜,餐饮服务;中餐厅;四川菜(川菜),050102,拱墅区,19157627370,上塘路332号,浙江省,diner,杭州市,"毛血旺,牛肚,肥肠",晚酒·阿英川菜馆(上塘路三店),"120.161280,30.293856",4.7,95
四川火锅,餐饮服务;中餐厅;火锅店,050117,滨江区,0571-88117788,铂金岛商业街140号(江汉路地铁站D口步行420米),浙江省,diner,杭州市,"鲜切吊龙（半斤）,渣渣牛肉拌饭,豆腐脑,鲜切牛舌,软儒粑粑鸡爪,8秒毛肚,渣渣牛肉花卷,鲜切牛肉,张笨笨牛杂软糯,鲜切胸口牛,鲜切匙仁,鲜切雪花,双人餐,牛肉",张笨笨四川火锅(滨江天街店),"120.204025,30.200575",4.6,92
川菜,餐饮服务;中餐厅;四川菜(川菜),050102,西湖区,0571-87918777,黄姑山路3号3层,浙江省,diner,杭州市,"沸腾水煮鱼,小炒黄牛肉,豆沙,酸梅汤,敲糖口水鸡,柠檬香炒辣子鸡,拌饭,肉饼,虾滑,酸菜鱼,麻婆豆腐,沸腾鱼,肥肠",新沸腾鱼乡(黄姑山路店),"120.133639,30.273122",4.7,135
川菜,餐饮服务;中餐厅;特色/地方风味餐厅,050118,拱墅区,17348533523,小河街道丽水路58号远洋乐堤港A区步行街1层奈雪的茶对面,浙江省,diner,杭州市,烤鱼,烤匠麻辣烤鱼(杭州远洋乐堤港店),"120.143184,30.305970",4.7,65
串串香,餐饮服务;中餐厅;火锅店,050117,上城区,15268188697,邮电路17号,浙江省,diner,杭州市,"猪脑花,冒花蛤,四川冰粉,冒花甲,红糖麻糍,土豆粉,油碟,冒脑花,冒毛肚,八爪鱼,酸梅汁,无骨鸭掌,鱼丸,冒牛百叶,干碟,串串,冰粉,串串香,单人餐,双人餐,小酥肉,牛肉,琅那土豆,狼牙土豆",宽窄巷子成都串串香(邮电路杭州店),"120.169862,30.251833",4.6,63
川菜,餐饮服务;中餐厅;四川菜(川菜),050102,上城区,4006092822,和兴路129号杭州东站万象汇购物中心2楼27号(2楼绿茶旁),浙江省,diner,杭州市,"不辣的鲈鱼酸菜鱼,毛血旺,招牌鲈鱼酸菜鱼,泡椒活蛙,超下饭小炒牛肉,蒜香粉丝虾,香辣活蛙,双人餐,酸菜鱼",太二酸菜鱼(杭州东站万象汇店),"120.217615,30.294025",4.5,80
川菜,餐饮服务;中餐厅;中餐厅,050100,西湖区,19817158813,三墩镇盛龙街浙港国际1号楼一楼119、121号,浙江省,diner,杭州市,牛蛙,江渔儿成都冷锅鱼(浙港国际店),"120.093084,30.308457",4.8,66
毛肚火锅,餐饮服务;中餐厅;火锅店,050117,萧山区,0571-82551988,琮琮路与拾久街交叉口西南160米杭州亚奥万象天地L5层,浙江省,diner,杭州市,[],巴奴毛肚火锅(杭州亚奥万象天地店),"120.247542,30.255906",4.7,146
火锅,餐饮服务;中餐厅;火锅店,050117,上城区,18106537068,延安路238号(龙翔桥地铁站D口步行340米),浙江省,diner,杭州市,"炒饭,牛蛙,重庆火锅,冰粉,牛肉,蛋炒饭",珮姐重庆火锅(杭州湖滨in77店),"120.164437,30.251269",4.6,119
川菜,餐饮服务;中餐厅;四川菜(川菜),050102,余杭区,18158132327,鼎创财富中心2幢103室(光大银行隔壁),浙江省,diner,杭州市,"冰川茄子,燊海辣子鸡,蒜辣耙鸡脚,老坛酸菜鸡杂,青红番茄焖牛腩,小炒尖椒跑山鸡,盐帮仔姜跳跳蛙,鲜椒仔姜兔,酸萝卜猪肚老鸭汤,和牛脆臊麻婆豆腐,巴嘴土猪蹄,干煸苦瓜,干锅牛蛙虾,咸肉台州石磨豆腐,豆汤时蔬,铜锅油焖鸡,燊海土猪回锅肉,鱼香牛肉丝,燊海辣子鸡,辣子鸡,麻婆豆腐",燊海记·盐帮川菜(杭州店),"120.006967,30.283043",4.6,114
